#CONSUMO PRIVADO, PRECIOS CONSTANTES#				
#INDICADORES MENSUALES DE CONSUMO PRIVADO#	
#AGREGADO TRIMESTRAL DE CN#					
#consumo privado, sa#	#consumo privado#
# Trimestral
# I-85 a III-04
48.743	47.128
48.699	48.867
48.995	48.788
49.232	50.887
49.408	47.758
50.221	50.299
50.746	50.518
51.875	53.676
52.587	50.872
53.298	53.364
53.919	53.765
54.468	56.271
55.133	53.266
55.674	55.779
56.433	56.375
57.397	59.217
58.056	56.03 
58.992	59.124
59.715	59.807
59.908	61.712
60.421	58.288
60.958	61.125
61.591	61.862
61.865	63.561
62.121	59.752
62.487	62.793
63.254	63.522
63.905	65.701
64.643	61.806
64.652	65.129
64.139	64.42 
63.708	65.786
63.015	60.104
62.828	63.459
63.135	63.267
62.924	65.069
62.732	59.785
63.462	64.205
63.899	63.945
64.19	66.35 
64.192	61.39 
64.53	65.391
64.754	64.636
65.172	67.228
66.187	63.525
66.18	67.164
65.619	65.389
66.258	68.164
66.577	63.886
67.572	68.449
69.173	69.04 
69.298	71.246
70.043	67.386
70.424	71.37 
71.603	71.34 
72.412	74.386
72.98	70.632
73.826	74.933
75.041	74.453
75.885	77.715
76.518	74.472
77.604	78.959
77.499	76.526
78.285	79.951
79.594	77.93 
79.56	81.092
79.54	78.269
79.947	81.35 
81.03	79.16 
81.776	83.133
81.992	80.74 
82.897	84.662
83.33	81.495
83.984	85.137
84.442	83.613
85.283	86.794
86.121	84.388
86.878	88.261
87.351	86.653
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
	      
