GTA,TRF,AMO
-0.352,-0.21107251,0.242
-0.46,-0.44449029,-0.27
-0.466,-0.096836341,0.135
-0.286,0.26210904,0.094
-0.346,0.39070948,0.153
-0.409,0.35779049,0.127
-0.522,0.2581144,-0.347
-0.276,0.26390439,-0.105
-0.49,0.33623394,0.199
-0.27,0.37076405,0.223
-0.245,0.3750448,0.281
-0.314,0.37953974,-0.048
-0.231,0.40476502,0.127
-0.262,0.44070511,-0.082
-0.275,0.4698686,0.113
-0.333,0.46881912,0.09
-0.227,0.42277264,-0.048
-0.303,0.36978899,0.143
-0.374,0.35373474,-0.287
-0.397,0.332461,-0.073
-0.38,0.28830947,-0.013
-0.076,0.29298153,0.325
0.035,0.33420941,0.476
-0.232,0.368246,0.123
-0.229,0.39995496,-0.079
-0.206,0.42920523,-0.089
-0.215,0.33982025,0.024
-0.295,-0.56353326,0.143
-0.408,-1.3017754,-0.103
-0.391,-0.71893884,0.047
-0.369,-0.23580858,-0.005
-0.419,-0.11721518,0.203
-0.312,-0.016598936,0.102
-0.173,-0.08450957,0.06
-0.419,-0.12348587,-0.239
-0.338,-0.02816829,0.029
-0.457,0.17145477,-0.167
-0.474,0.34036723,-0.146
-0.406,0.45854671,-0.217
-0.393,0.43496617,-0.039
-0.189,0.26290903,0.064
-0.211,0.16316606,-0.005
-0.416,0.25869933,0.007
-0.291,0.36799034,0.306
-0.2,0.41475781,0.145
-0.265,0.39849017,-0.057
-0.407,-0.041670226,-0.078
-0.485,-0.40336913,-0.286
-0.526,-0.081701345,-0.148
-0.382,0.28507922,-0.24
-0.288,0.389716,-0.221
-0.47,0.36949981,-0.187
-0.516,0.38664275,-0.119
-0.53,0.45257997,-0.232
-0.494,0.47406745,-0.24
-0.547,0.47502449,-0.171
-0.44,0.23787245,-0.234
-0.428,0.1428922,-0.326
-0.248,0.38792615,-0.227
-0.151,0.54484665,0.011
-0.388,0.61946613,-0.208
-0.467,0.65507998,-0.259
-0.335,0.66254981,-0.224
-0.275,0.64062566,-0.29
-0.246,0.53860773,-0.302
-0.187,0.51390834,-0.12
-0.302,0.59917404,-0.323
-0.272,0.6188415,-0.06
-0.293,0.62160553,-0.287
-0.213,0.65690052,0.046
-0.106,0.70124531,0.089
-0.21,0.72125112,-0.025
-0.208,0.67462867,-0.091
-0.35,0.62401289,-0.186
-0.136,0.65251894,0.142
-0.083,0.6785285,0.171
-0.134,0.64515032,0.095
-0.269,0.65684612,0.002
-0.126,0.71706368,-0.005
-0.173,0.77329698,0.1
-0.141,0.83155121,0.047
-0.024,0.84505011,0.352
-0.003,0.833606,0.218
-0.047,0.83751216,-0.08
0.02,0.84838382,-0.139
0.021,0.84065291,0.326
-0.023,0.79637885,0.091
0.001,0.77291049,0.228
0.152,0.8014979,0.274
0.03,0.84012487,0.139
-0.07,0.87434778,-0.033
-0.04,0.88946972,0.036
-0.037,0.89886532,0.064
-0.071,0.87852081,0.12
-0.172,0.84163896,0.09
-0.052,0.80135099,0.177
0.03,0.76630996,0.342
0.097,0.74610376,0.26
-0.132,0.75480507,-0.049
-0.19,0.81537626,0.258
-0.265,0.89909856,0.02
-0.005,0.96679968,0.081
0.046,0.98244834,0.221
0.016,0.96883259,0.111
-0.049,0.88020351,0.139
0.039,0.75156663,0.214
0.016,0.64515114,0.191
0.048,0.1620533,-0.06
-0.222,-0.18567194,-0.121
-0.141,0.16267508,-0.123
-0.07,0.59334428,0.08
-0.076,0.76875547,-0.153
-0.113,0.60919867,-0.127
0.03,0.57531732,-0.032
-0.027,0.84740204,-0.21
-0.186,1.0370201,-0.308
-0.068,1.0974394,-0.351
0.064,1.0624488,-0.238
-0.212,0.91537051,-0.36
-0.146,0.82176973,-0.321
-0.24,0.97769425,-0.431
0.045,1.1988289,-0.203
-0.063,1.2758337,-0.181
0.056,1.3561905,-0.057
0.092,1.466064,-0.247
0.14,1.4077614,0.001
0.012,0.71477621,-0.373
0.193,0.40876639,0.005
-0.013,0.95187721,-0.31
-0.029,1.2513234,-0.329
0.046,1.3423653,-0.364
0.191,1.4352832,0.05
0.201,1.5760874,-0.16
0.121,1.7006148,-0.15
0.297,1.7456356,-0.033
0.254,0.80674072,-0.212
0.105,0.18316716,-0.283
0.145,0.8971375,-0.292
0.206,1.436801,-0.09
0.321,1.6412118,0.042
0.182,1.7378777,-0.155
0.389,1.8156668,0.131
0.536,1.9242133,0.279
0.307,2.0332219,0.015
0.295,2.0961904,-0.127
0.44,2.1279809,0.214
0.496,2.1453595,0.005
0.509,2.1378986,0.224
0.45,2.1258179,0.187
0.544,2.0837516,0.216
0.505,1.9905206,0.172
0.493,1.9519499,0.111
0.395,1.9858937,0.019
0.506,2.0752886,0.083
0.559,2.1917034,0.208
0.422,2.2685169,-0.044
0.47,2.24092564332944,0.141
0.499,2.2189283144701,0.037
0.567,2.20371604785759,0.059
0.746,2.19258264649934,0.229
