YEARS	GTA	TRF	AMO
1856-06-01	-0.352	-0.21107251	0.242
1857-06-01	-0.46	-0.44449029	-0.27
1858-06-01	-0.466	-0.096836341	0.135
1859-06-01	-0.286	0.26210904	0.094
1860-06-01	-0.346	0.39070948	0.153
1861-06-01	-0.409	0.35779049	0.127
1862-06-01	-0.522	0.2581144	-0.347
1863-06-01	-0.276	0.26390439	-0.105
1864-06-01	-0.49	0.33623394	0.199
1865-06-01	-0.27	0.37076405	0.223
1866-06-01	-0.245	0.3750448	0.281
1867-06-01	-0.314	0.37953974	-0.048
1868-06-01	-0.231	0.40476502	0.127
1869-06-01	-0.262	0.44070511	-0.082
1870-06-01	-0.275	0.4698686	0.113
1871-06-01	-0.333	0.46881912	0.09
1872-06-01	-0.227	0.42277264	-0.048
1873-06-01	-0.303	0.36978899	0.143
1874-06-01	-0.374	0.35373474	-0.287
1875-06-01	-0.397	0.332461	-0.073
1876-06-01	-0.38	0.28830947	-0.013
1877-06-01	-0.076	0.29298153	0.325
1878-06-01	0.035	0.33420941	0.476
1879-06-01	-0.232	0.368246	0.123
1880-06-01	-0.229	0.39995496	-0.079
1881-06-01	-0.206	0.42920523	-0.089
1882-06-01	-0.215	0.33982025	0.024
1883-06-01	-0.295	-0.56353326	0.143
1884-06-01	-0.408	-1.3017754	-0.103
1885-06-01	-0.391	-0.71893884	0.047
1886-06-01	-0.369	-0.23580858	-0.005
1887-06-01	-0.419	-0.11721518	0.203
1888-06-01	-0.312	-0.016598936	0.102
1889-06-01	-0.173	-0.08450957	0.06
1890-06-01	-0.419	-0.12348587	-0.239
1891-06-01	-0.338	-0.02816829	0.029
1892-06-01	-0.457	0.17145477	-0.167
1893-06-01	-0.474	0.34036723	-0.146
1894-06-01	-0.406	0.45854671	-0.217
1895-06-01	-0.393	0.43496617	-0.039
1896-06-01	-0.189	0.26290903	0.064
1897-06-01	-0.211	0.16316606	-0.005
1898-06-01	-0.416	0.25869933	0.007
1899-06-01	-0.291	0.36799034	0.306
1900-06-01	-0.2	0.41475781	0.145
1901-06-01	-0.265	0.39849017	-0.057
1902-06-01	-0.407	-0.041670226	-0.078
1903-06-01	-0.485	-0.40336913	-0.286
1904-06-01	-0.526	-0.081701345	-0.148
1905-06-01	-0.382	0.28507922	-0.24
1906-06-01	-0.288	0.389716	-0.221
1907-06-01	-0.47	0.36949981	-0.187
1908-06-01	-0.516	0.38664275	-0.119
1909-06-01	-0.53	0.45257997	-0.232
1910-06-01	-0.494	0.47406745	-0.24
1911-06-01	-0.547	0.47502449	-0.171
1912-06-01	-0.44	0.23787245	-0.234
1913-06-01	-0.428	0.1428922	-0.326
1914-06-01	-0.248	0.38792615	-0.227
1915-06-01	-0.151	0.54484665	0.011
1916-06-01	-0.388	0.61946613	-0.208
1917-06-01	-0.467	0.65507998	-0.259
1918-06-01	-0.335	0.66254981	-0.224
1919-06-01	-0.275	0.64062566	-0.29
1920-06-01	-0.246	0.53860773	-0.302
1921-06-01	-0.187	0.51390834	-0.12
1922-06-01	-0.302	0.59917404	-0.323
1923-06-01	-0.272	0.6188415	-0.06
1924-06-01	-0.293	0.62160553	-0.287
1925-06-01	-0.213	0.65690052	0.046
1926-06-01	-0.106	0.70124531	0.089
1927-06-01	-0.21	0.72125112	-0.025
1928-06-01	-0.208	0.67462867	-0.091
1929-06-01	-0.35	0.62401289	-0.186
1930-06-01	-0.136	0.65251894	0.142
1931-06-01	-0.083	0.6785285	0.171
1932-06-01	-0.134	0.64515032	0.095
1933-06-01	-0.269	0.65684612	0.002
1934-06-01	-0.126	0.71706368	-0.005
1935-06-01	-0.173	0.77329698	0.1
1936-06-01	-0.141	0.83155121	0.047
1937-06-01	-0.024	0.84505011	0.352
1938-06-01	-0.003	0.833606	0.218
1939-06-01	-0.047	0.83751216	-0.08
1940-06-01	0.02	0.84838382	-0.139
1941-06-01	0.021	0.84065291	0.326
1942-06-01	-0.023	0.79637885	0.091
1943-06-01	0.001	0.77291049	0.228
1944-06-01	0.152	0.8014979	0.274
1945-06-01	0.03	0.84012487	0.139
1946-06-01	-0.07	0.87434778	-0.033
1947-06-01	-0.04	0.88946972	0.036
1948-06-01	-0.037	0.89886532	0.064
1949-06-01	-0.071	0.87852081	0.12
1950-06-01	-0.172	0.84163896	0.09
1951-06-01	-0.052	0.80135099	0.177
1952-06-01	0.03	0.76630996	0.342
1953-06-01	0.097	0.74610376	0.26
1954-06-01	-0.132	0.75480507	-0.049
